citekey,evidence_domain,design,geography,decision_use,key_support,important_limit,doi_or_identifier,metadata_verification,redistribution,local_file
McKay1979,"uncertainty design","statistical methods","general","Latin-hypercube basis","Introduces stratified input sampling that improves coverage of parameter space","Does not give probability meaning to subjective parameter ranges","10.1080/00401706.1979.10489755","publisher DOI checked 2026-08-16","citation only",""
Macmillan2014,"Auckland cycling economics; systems","participatory system-dynamics scenario modelling","Auckland New Zealand","local policy and benefit-model precedent","Models long-run societal costs and benefits of Auckland commuter-cycling policies and feedbacks","Scenario/system model is not project-level causal evidence or current MBCM appraisal","10.1289/ehp.1307250","publisher DOI and Otago record checked 2026-08-16","citation only",""
Keall2015,"intervention effectiveness","quasi-experimental controlled study","four New Zealand cities","local intervention-effect evidence","Evaluates combined infrastructure and encouragement programme against control cities","Cannot isolate cycling infrastructure component and does not estimate Auckland route response","10.1136/jech-2015-205466","publisher DOI and article record checked 2026-08-16","citation only",""
Mackie2018,"co-design; implementation; Auckland","controlled-before-after intervention process paper","Māngere Auckland","delivery and community-engagement context","Documents community-government-researcher street retrofit and implementation barriers","Process/outcomes paper does not estimate the workbench demand response","10.1016/j.jth.2018.08.014","Crossref and publisher record checked 2026-08-20","CC BY-NC-ND 4.0 version of record; local copy not retained",""
SmithFu2025,"LTS; connected networks; New Zealand","cross-sectional network and commute analysis","seven urban areas in Aotearoa New Zealand","local construct validity for connectivity","Finds connected low-stress infrastructure is associated with cycling uptake in New Zealand cities","Cross-sectional association is not a treatment effect and implementation rules may differ","10.1016/j.cities.2024.105526","Crossref and publisher record checked 2026-08-20","CC BY 4.0 version of record; local copy not retained",""
Russell2021,"gender; Māori; equity","intersectional qualitative focus groups","New Zealand city","equity interpretation and safeguards","Participants emphasise safe connected infrastructure and social/personal safety across life stages","Qualitative sample is not a spatial weighting function or effect size","10.1016/j.jtrangeo.2021.102987","publisher metadata checked 2026-08-16","citation only",""
Jones2020,"Māori cycling; equity","mixed methods","Aotearoa New Zealand","Indigenous and distributional context","Shows Māori cycling patterns and conditions cannot be inferred from aggregate deprivation alone","Does not define candidate-project weights or causal effects","10.1111/nzg.12280","publisher DOI checked 2026-08-16","citation only",""
Thorne2020,"low-income community; implementation","qualitative interviews and focus groups","Māngere Auckland","community interpretation and connectivity caveat","Highlights community priorities barriers and need for network connections beyond neighbourhood projects","Small contextual study cannot rank regional investments","10.1111/nzg.12276","publisher DOI checked 2026-08-16","citation only",""
Atkinson2024NZDep,"area deprivation; equity context","official index research report","Aotearoa New Zealand","definition construction and limitations of NZDep2023","Defines NZDep2023 as an area-based relative socioeconomic-deprivation index and documents construction validation missing values and interpretation","Area values do not describe individuals; relative deciles do not measure absolute change; the report's CC BY licence is not assumed to license the separate downloadable dataset","University of Otago NZDep2023 Research Report 2024","official University of Otago report and licence text checked 2026-08-20","report CC BY 4.0; official link only",""
MBCM2026,"economic appraisal","national appraisal manual","New Zealand","current formal-appraisal rules and parameter source","Defines procedures and values for land-transport benefit-cost calculations beginning from applicable date","Using selected values does not make this screening model MBCM-compliant","MBCM v1.7.5 ISBN 978-1-991311-55-9","official NZTA page checked 2026-08-20","link only; external reproduction terms control",""
MBCMUpdate2026,"economic appraisal; manual currency","national appraisal circular","New Zealand","version applicability and change record","Records the May 2026 changes and that MBCM v1.7.5 applies to benefit-cost calculations commencing on or after 29 May 2026","Does not replace the manual or the separate discount-rate circular","NZTA General Circular 26/01","official NZTA page and circular URL checked 2026-08-20","link only; external reproduction terms not stated",""
MBCMDiscount2025,"economic appraisal; discounting","national economic-analysis circular","New Zealand","principal and sensitivity discount schedules","Requires non-commercial public activities to use 2 percent for years 1-30 then 1.5 percent for years 31-100 and 1 percent thereafter; requires 8 percent sensitivity","Activity classification and applicable commencement date still require confirmation","NZTA General Circular 25/01","official NZTA circular checked 2026-08-20","link only; external reproduction terms not stated",""
ATPBC2022,"Auckland cycling demand; programme appraisal","programme business-case technical appendix","Auckland New Zealand","local comparator and historical parameter context","Documents the 2022 Auckland programme demand model and economic-assessment structure including a 40-year period","Uses 2021-era assumptions including a superseded 4 percent rate; not evidence for current defaults or corridor effects","Auckland Transport CAM-PBC Appendix M","official Auckland Transport report page and PDF checked 2026-08-16","link only; external reproduction terms not stated",""
TERP2022,"policy scenario","adopted regional pathway","Auckland","policy context and target wording","States 2030 cycling-plus-micromobility mode-share targets across all trips","No direct crosswalk to Census commute denominator or an 8 percent cycling-only target","Auckland Council TERP 2022","official council record checked 2026-08-16","link only",""
FutureConnect2023,"strategic network; planning context","official multimodal network plan and technical method","Auckland","strategic-network context and distinction from funded projects","Identifies Auckland's long-term multimodal strategic networks and issues used to inform the RLTP; the cycle and micromobility network expresses strategic intent rather than a project programme","The official page calls this the 2023 update but the technical PDF footer is marked Draft; mapped features are not evidence of funding commitment and the service-layer redistribution licence remains unresolved","Auckland Transport Future Connect 2023","official Auckland Transport page and technical PDF checked 2026-08-25","official PDF retained locally but not redistributable pending exact terms",""
RLTP2024,"investment programme; policy context","statutory regional transport plan","Auckland","funded/planned context and comparison with modelled candidates","Sets out and prioritises the 2024-2034 land-transport activities sought for funding and distinguishes the regional bid from subsequent national funding decisions","Inclusion or ranking in the RLTP is not proof of final funding delivery scope design or cost; project-map lineage and redistribution terms must be resolved before a public overlay","Auckland Regional Land Transport Plan 2024-2034","official Auckland Transport page and final PDF checked 2026-08-25","official PDF retained locally but not redistributable pending exact terms",""
